entity_key,name,cat,county,district,address,tel,sources
x:苗栗縣:苗栗縣山線地區兒童早期療育個案管理中心,苗栗縣山線地區兒童早期療育個案管理中心,個案管理中心,苗栗縣,大湖鄉,苗栗縣大湖鄉靜湖村和平路28號,037-230265,sfaa
x:苗栗縣:苗栗縣苗栗及通苑地區兒童早期療育個案管理中心,苗栗縣苗栗及通苑地區兒童早期療育個案管理中心,個案管理中心,苗栗縣,苗栗市,苗栗縣苗栗市嘉新里經國路4段851號4樓,037-268995,sfaa
x:高雄市:高雄市旗津兒童發展社區服務據點,高雄市旗津兒童發展社區服務據點,個案管理中心,高雄市,旗津區,高雄市旗津區中洲三路623號（旗津國小內）,07-5710885,sfaa
x:高雄市:高雄市鹽埕兒童發展社區服務據點,高雄市鹽埕兒童發展社區服務據點,個案管理中心,高雄市,鹽埕區,高雄市鹽埕區七賢三路99號,07-5335011,sfaa
0938030016,佑民醫療社團法人佑民醫院,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮太平路一段200號,049-2358151,healthforkids;sfaa
3538011883,佳成小兒科診所,兒童發展篩檢院所,南投縣,南投市,南投縣南投市集賢路34號,049-2231115,healthforkids
2338080016,南投縣中寮鄉衛生所,兒童發展篩檢院所,南投縣,中寮鄉,南投縣中寮鄉永平村永昌街102號,049-2691404,healthforkids
2338130011,南投縣仁愛鄉衛生所,兒童發展篩檢院所,南投縣,仁愛鄉,南投縣仁愛鄉五福巷17號,049-2802341,healthforkids
x:南投縣:南投縣信義鄉衛生所,南投縣信義鄉衛生所,兒童發展篩檢院所,南投縣,信義鄉,南投縣信義鄉明德村玉山路45號,049-2791148,healthforkids
2338010014,南投縣南投市衛生所,兒童發展篩檢院所,南投縣,南投市,南投縣南投市三和一路13號,049-2223264,healthforkids
x:南投縣:南投縣名間鄉衛生所,南投縣名間鄉衛生所,兒童發展篩檢院所,南投縣,名間鄉,南投縣名間鄉中正村彰南路42號,049-2732135,healthforkids
QY38100019,南投縣國姓鄉衛生所,兒童發展篩檢院所,南投縣,國姓鄉,南投縣國姓鄉民族街42號,049-2721009,healthforkids
2338020010,南投縣埔里鎮衛生所,兒童發展篩檢院所,南投縣,埔里鎮,南投縣埔里鎮中山路二段256號,049-2982157,healthforkids
2338110019,南投縣水里鄉衛生所,兒童發展篩檢院所,南投縣,水里鄉,南投縣水里鄉博愛路205號,049-2770079,healthforkids
2338040012,南投縣竹山鎮衛生所,兒童發展篩檢院所,南投縣,竹山鎮,南投縣竹山鎮雲林里公所路126號,049-2642026,healthforkids
x:南投縣:南投縣草屯鎮衛生所,南投縣草屯鎮衛生所,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮草溪路882巷7號,049-2362023,healthforkids
2338050018,南投縣集集鎮衛生所,兒童發展篩檢院所,南投縣,集集鎮,南投縣集集鎮民生路106號,049-2762015,healthforkids
2338090012,南投縣魚池鄉衛生所,兒童發展篩檢院所,南投縣,魚池鄉,南投縣魚池鄉東池村魚池街194號,049-2895513,healthforkids
2338070010,南投縣鹿谷鄉衛生所,兒童發展篩檢院所,南投縣,鹿谷鄉,南投縣鹿谷鄉中正路二段20號,049-2752002,healthforkids
x:南投縣:安麗小兒科內科診所,安麗小兒科內科診所,兒童發展篩檢院所,南投縣,埔里鎮,南投縣埔里鎮中山路二段262號,049-2991030,healthforkids
x:南投縣:幼安小兒科診所,幼安小兒科診所,兒童發展篩檢院所,南投縣,南投市,南投縣南投市民族路243號,049-2206706,healthforkids
1138010019,彰化基督教醫療財團法人南投基督教醫院,兒童發展篩檢院所,南投縣,南投市,南投縣南投市中興路870號,049-2225595,healthforkids;sfaa
x:南投縣:智瑤小兒科診所,智瑤小兒科診所,兒童發展篩檢院所,南投縣,竹山鎮,南投縣竹山鎮集山路三段879號,049-2652288,healthforkids
x:南投縣:林洸燁小兒科診所,林洸燁小兒科診所,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮中正路626號,049-2318735,healthforkids
x:南投縣:正安診所,正安診所,兒童發展篩檢院所,南投縣,名間鄉,南投縣名間鄉南雅街124號,049-2737666,healthforkids
x:南投縣:洪瑞成小兒科診所,洪瑞成小兒科診所,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮中山街36號,049-2323151,healthforkids
3538011758,淵源診所,兒童發展篩檢院所,南投縣,南投市,南投縣南投市民族路300號,049-2222171,healthforkids
x:南投縣:瑞斌診所,瑞斌診所,兒童發展篩檢院所,南投縣,水里鄉,南投縣水里鄉民權路232號,049-2778866,healthforkids
3538033245,田登翔家醫診所,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮中正路286之13號,049-2567771,healthforkids
3538010420,眾安診所,兒童發展篩檢院所,南投縣,南投市,南投縣南投市文昌街75號,049-2235829,healthforkids
0931060016,祐安小兒科診所,兒童發展篩檢院所,南投縣,埔里鎮,南投縣埔里鎮中正路395號,049-2997752,healthforkids;sfaa
x:南投縣:童小兒科家醫科聯合診所,童小兒科家醫科聯合診所,兒童發展篩檢院所,南投縣,埔里鎮,南投縣埔里鎮中正路408號,049-2983212,healthforkids
x:南投縣:聖光小兒科診所,聖光小兒科診所,兒童發展篩檢院所,南投縣,埔里鎮,南投縣埔里鎮南昌街160號,049-2988099,healthforkids
x:南投縣:聖方小兒科診所,聖方小兒科診所,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮碧山南路21號,049-2307728,healthforkids
x:南投縣:蔡文雄診所,蔡文雄診所,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮富寮里富昌路2之1號,049-2569085,healthforkids
3540121278,賜安診所,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮中山街277號,049-2354658,healthforkids
3538030851,錦林診所,兒童發展篩檢院所,南投縣,草屯鎮,南投縣草屯鎮虎山路736號,049-2357509,healthforkids
x:南投縣:黃子卿小兒科診所,黃子卿小兒科診所,兒童發展篩檢院所,南投縣,南投市,南投縣南投市民族路123號,049-2200623,healthforkids
5922011877,何光哲小兒科診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區新生路309號,05-2766878,healthforkids
4022020019,佛教慈濟醫療財團法人嘉義慈濟診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區仁愛路383號,05-2167000,healthforkids
x:嘉義市:保安診所,保安診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區新民路852號,05-2368682,healthforkids
3522024696,信合美診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區興業西路89號,05-2867272,healthforkids
3522023715,啟仁診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區仁愛路200號,05-2257959,healthforkids
3522024285,嘉安婦幼診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區友愛路390號,05-2335515,healthforkids;sfaa
2322010017,嘉義市東區衛生所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區大雅路二段625號,05-2750423,healthforkids
2322020013,嘉義市西區衛生所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區德明路1號,05-2337355,healthforkids
3522013586,大心診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區吳鳳北路116號,05-2279237,healthforkids
x:嘉義市:孫小兒科診所,孫小兒科診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區吳鳳北路289號,05-2222829,healthforkids
3522013700,建興診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區中山路148號,05-2270302,healthforkids
x:嘉義市:愛兒診所,愛兒診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區民生南路45號,05-2238233,healthforkids
x:嘉義市:欣升診所,欣升診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區博東路283號,05-2765538,healthforkids
3522024310,欣愛診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區國華街298號,05-2285980,healthforkids
x:嘉義市:王國哲診所,王國哲診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區博愛路二段359號,05-2310550,healthforkids
3522011591,立文小兒科診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區新生路782號,05-2779463,healthforkids
x:嘉義市:聖心診所,聖心診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區民權路367號,05-2224800,healthforkids
x:嘉義市:華山診所,華山診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區吳鳳北路151號,05-2248777,healthforkids
x:嘉義市:華陽診所,華陽診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區忠孝路284之2號,05-2754038,healthforkids
x:嘉義市:葉弘貴小兒科診所,葉弘貴小兒科診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區中山路253號,05-2253863,healthforkids
x:嘉義市:許小兒科診所,許小兒科診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區垂楊路139號,05-2280858,healthforkids
x:嘉義市:賴瑪莉診所,賴瑪莉診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區新生路313號,05-2741234,healthforkids
x:嘉義市:邱晉陽診所,邱晉陽診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區吳鳳北路280號,05-2751973,healthforkids
x:嘉義市:黃世斌小兒科診所,黃世斌小兒科診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區博東路47號,05-2710271,healthforkids
3522011564,黃崇銘診所,兒童發展篩檢院所,嘉義市,東區,嘉義市東區新生路361號,05-2777686,healthforkids
x:嘉義市:黃思超小兒科診所,黃思超小兒科診所,兒童發展篩檢院所,嘉義市,西區,嘉義市西區民族路632號,05-2163232,healthforkids
x:嘉義縣:佳誼小兒科診所,佳誼小兒科診所,兒童發展篩檢院所,嘉義縣,中埔鄉,嘉義縣中埔鄉和睦村中山路五段697號,05-2391096,healthforkids
3540111325,吳振維診所,兒童發展篩檢院所,嘉義縣,太保市,嘉義縣太保市中山路一段590號,05-2380101,healthforkids
3531018204,嘉恩診所,兒童發展篩檢院所,嘉義縣,水上鄉,嘉義縣水上鄉水頭村18鄰中興路265號,05-2603661,healthforkids
2340130012,嘉義縣中埔鄉衛生所,兒童發展篩檢院所,嘉義縣,中埔鄉,嘉義縣中埔鄉中埔村130之1號,05-2531008,healthforkids
2340070011,嘉義縣六腳鄉衛生所,兒童發展篩檢院所,嘉義縣,六腳鄉,嘉義縣六腳鄉蒜頭村73之1號,05-3802016,healthforkids
2340030017,嘉義縣大林鎮衛生所,兒童發展篩檢院所,嘉義縣,大林鎮,嘉義縣大林鎮中山路252號,05-2652042,healthforkids
2340110010,嘉義縣太保市衛生所,兒童發展篩檢院所,嘉義縣,太保市,嘉義縣太保市後潭里14鄰443號,05-3711273,healthforkids
2340020011,嘉義縣布袋鎮衛生所,兒童發展篩檢院所,嘉義縣,布袋鎮,嘉義縣布袋鎮新厝里21號,05-3472032,healthforkids
2340060015,嘉義縣新港鄉衛生所,兒童發展篩檢院所,嘉義縣,新港鄉,嘉義縣新港鄉宮後村嘉民北路5號,05-3742025,healthforkids
2340080017,嘉義縣東石鄉衛生所,兒童發展篩檢院所,嘉義縣,東石鄉,嘉義縣東石鄉東石村3之7號,05-3732340,healthforkids
2340150014,嘉義縣梅山鄉衛生所,兒童發展篩檢院所,嘉義縣,梅山鄉,嘉義縣梅山鄉華山路18號,05-2621249,healthforkids
2340040013,嘉義縣民雄鄉衛生所,兒童發展篩檢院所,嘉義縣,民雄鄉,嘉義縣民雄鄉中樂村文化路7之2號,05-2262018,healthforkids
2340120016,嘉義縣水上鄉衛生所,兒童發展篩檢院所,嘉義縣,水上鄉,嘉義縣水上鄉水上村正義路145號,05-2682059,healthforkids
2340050019,嘉義縣溪口鄉衛生所,兒童發展篩檢院所,嘉義縣,溪口鄉,嘉義縣溪口鄉溪北村二鄰中山路1號,05-2691046,healthforkids
2340160010,嘉義縣番路鄉衛生所,兒童發展篩檢院所,嘉義縣,番路鄉,嘉義縣番路鄉下坑村菜公店2鄰60號,05-2591148,healthforkids
2340140018,嘉義縣竹崎鄉衛生所,兒童發展篩檢院所,嘉義縣,竹崎鄉,嘉義縣竹崎鄉文化路19之1號,05-2611264,healthforkids
2340090013,嘉義縣義竹鄉衛生所,兒童發展篩檢院所,嘉義縣,義竹鄉,嘉義縣義竹鄉村義竹422之1號,05-3412032,healthforkids
2340180012,嘉義縣阿里山鄉衛生所,兒童發展篩檢院所,嘉義縣,阿里山鄉,嘉義縣阿里山鄉樂野村3鄰97之2號,05-2561573,healthforkids
2340100014,嘉義縣鹿草鄉衛生所,兒童發展篩檢院所,嘉義縣,鹿草鄉,嘉義縣鹿草鄉長壽路226巷2號,05-3752080,healthforkids
3540121349,忻安診所,兒童發展篩檢院所,嘉義縣,水上鄉,嘉義縣水上鄉市政街113號,05-2689777,healthforkids
3540121358,晨禾診所,兒童發展篩檢院所,嘉義縣,水上鄉,嘉義縣水上鄉寬士村崎子頭170號,05-2366623,healthforkids
3540061339,林讓秀小兒科診所,兒童發展篩檢院所,嘉義縣,新港鄉,嘉義縣新港鄉大興村中正路63號,05-3748237,healthforkids
3540131541,柯診所,兒童發展篩檢院所,嘉義縣,中埔鄉,嘉義縣中埔鄉中埔村16鄰170之25號,05-2531616,healthforkids
3540021353,永吉診所,兒童發展篩檢院所,嘉義縣,布袋鎮,嘉義縣布袋鎮興中里1鄰後寮路72巷28號,05-3472090,healthforkids
x:嘉義縣:王士虹小兒科診所,王士虹小兒科診所,兒童發展篩檢院所,嘉義縣,朴子市,嘉義縣朴子市平和里山通路41號,05-3700539,healthforkids
3540110104,馬志宏診所,兒童發展篩檢院所,嘉義縣,太保市,嘉義縣太保市太保里17之2號,05-3717317,healthforkids
0511040010,三軍總醫院基隆分院附設民眾診療服務處,兒童發展篩檢院所,基隆市,中正區,基隆市中正區正榮街100號,02-24633330,healthforkids
3511041396,仁祥診所,兒童發展篩檢院所,基隆市,仁愛區,基隆市仁愛區忠一路20號,02-24232111,healthforkids
3511011950,兒童中心診所,兒童發展篩檢院所,基隆市,中正區,基隆市中正區義一路46號,02-24212577,healthforkids
3511010702,博群診所,兒童發展篩檢院所,基隆市,中正區,基隆市中正區新豐街446號,02-24601356,healthforkids
3511071410,國泰家醫診所,兒童發展篩檢院所,基隆市,信義區,基隆市信義區信一路115號,02-24254195,healthforkids
2311020016,基隆市七堵區衛生所,兒童發展篩檢院所,基隆市,七堵區,基隆市七堵區光明路21號,02-24562008,healthforkids
2311050014,基隆市中山區衛生所,兒童發展篩檢院所,基隆市,中山區,基隆市中山區中山二路15號,02-24229860,healthforkids
2311010010,基隆市中正區衛生所,兒童發展篩檢院所,基隆市,中正區,基隆市中正區中正路786之1號,02-24621632,healthforkids
2311040018,基隆市仁愛區衛生所,兒童發展篩檢院所,基隆市,仁愛區,基隆市仁愛區光一路26號,02-24311592,healthforkids
2311060010,基隆市安樂區衛生所,兒童發展篩檢院所,基隆市,安樂區,基隆市安樂區安樂路二段164號,02-24318061,healthforkids
2311030012,基隆市暖暖區衛生所,兒童發展篩檢院所,基隆市,暖暖區,基隆市暖暖區暖暖街281巷98號,02-24572630,healthforkids
3511012297,文昕診所,兒童發展篩檢院所,基隆市,中正區,基隆市中正區信四路4號,02-24269977,healthforkids
3511050260,林義宏診所,兒童發展篩檢院所,基隆市,中山區,基隆市中山區復興路263號,02-24366481,healthforkids
x:基隆市:王順水小兒科診所,王順水小兒科診所,兒童發展篩檢院所,基隆市,仁愛區,基隆市仁愛區仁二路56號,02-24201733,healthforkids
3511031247,碇內診所,兒童發展篩檢院所,基隆市,暖暖區,基隆市暖暖區源遠路323號,02-24595878,healthforkids
x:基隆市:紀醫師診所,紀醫師診所,兒童發展篩檢院所,基隆市,七堵區,基隆市七堵區開元路83號,02-24554195,healthforkids
x:基隆市:陳如儀兒科診所,陳如儀兒科診所,兒童發展篩檢院所,基隆市,中正區,基隆市中正區義一路62號,02-24259958,healthforkids
3534020028,優昇診所,兒童發展篩檢院所,宜蘭縣,羅東鎮,宜蘭縣羅東鎮開明里和平路74號,03-9572333,healthforkids
x:宜蘭縣:劉醫師小兒科診所,劉醫師小兒科診所,兒童發展篩檢院所,宜蘭縣,羅東鎮,宜蘭縣羅東鎮純精路二段229號,03-9518121,healthforkids
x:宜蘭縣:吳建志診所,吳建志診所,兒童發展篩檢院所,宜蘭縣,冬山鄉,宜蘭縣冬山鄉冬山路五段212號,03-9566799,healthforkids
x:宜蘭縣:吳振華小兒科診所,吳振華小兒科診所,兒童發展篩檢院所,宜蘭縣,羅東鎮,宜蘭縣羅東鎮中正南路63號,03-9548549,healthforkids
1134050026,天主教靈醫會醫療財團法人礁溪杏和醫院,兒童發展篩檢院所,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉礁溪路四段129號,03-9886996,healthforkids
1134010022,宜蘭仁愛醫療財團法人宜蘭仁愛醫院,兒童發展篩檢院所,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路二段260號,03-9321888,healthforkids
2334100017,宜蘭縣三星鄉衛生所,兒童發展篩檢院所,宜蘭縣,三星鄉,宜蘭縣三星鄉三星路五段70號,03-9892227,healthforkids
2334090016,宜蘭縣五結鄉衛生所,兒童發展篩檢院所,宜蘭縣,五結鄉,宜蘭縣五結鄉五結村五結路二段337號,03-9501564,healthforkids
2334081026,宜蘭縣冬山鄉衛生所,兒童發展篩檢院所,宜蘭縣,冬山鄉,宜蘭縣冬山鄉中正路16號,03-9594772,healthforkids
2334120019,宜蘭縣南澳鄉衛生所,兒童發展篩檢院所,宜蘭縣,南澳鄉,宜蘭縣南澳鄉南澳村蘇花路二段375號,03-9981019,healthforkids
2334070014,宜蘭縣員山鄉衛生所,兒童發展篩檢院所,宜蘭縣,員山鄉,宜蘭縣員山鄉復興路2號,03-9221575,healthforkids
2334060018,宜蘭縣壯圍鄉衛生所,兒童發展篩檢院所,宜蘭縣,壯圍鄉,宜蘭縣壯圍鄉中央路二段290號,03-9385503,healthforkids;sfaa
2334110013,宜蘭縣大同鄉衛生所,兒童發展篩檢院所,宜蘭縣,大同鄉,宜蘭縣大同鄉崙埤村朝陽40號,03-9801175,healthforkids
2334010018,宜蘭縣宜蘭市衛生所,兒童發展篩檢院所,宜蘭縣,宜蘭市,宜蘭縣宜蘭市健康路二段2之2號,03-9322362,healthforkids
2334050012,宜蘭縣礁溪鄉衛生所,兒童發展篩檢院所,宜蘭縣,礁溪鄉,宜蘭縣礁溪鄉礁溪路四段126號,03-9882908,healthforkids
2334020014,宜蘭縣羅東鎮衛生所,兒童發展篩檢院所,宜蘭縣,羅東鎮,宜蘭縣羅東鎮民生路79號,03-9542321,healthforkids
2334030010,宜蘭縣蘇澳鎮衛生所,兒童發展篩檢院所,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮志成路60號,03-9962185,healthforkids
2334040016,宜蘭縣頭城鎮衛生所,兒童發展篩檢院所,宜蘭縣,頭城鎮,宜蘭縣頭城鎮新建里吉祥路15號,03-9771034,healthforkids
3534012428,怡然診所,兒童發展篩檢院所,宜蘭縣,宜蘭市,宜蘭縣宜蘭市宜中路133號,03-9313551,healthforkids
x:宜蘭縣:普濟診所,普濟診所,兒童發展篩檢院所,宜蘭縣,羅東鎮,宜蘭縣羅東鎮興東南路233號,03-9569270,healthforkids
3534012222,朱俊源診所,兒童發展篩檢院所,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路三段175號,03-9322729,healthforkids
x:宜蘭縣:李碧峰小兒科診所,李碧峰小兒科診所,兒童發展篩檢院所,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路三段29號,03-9356288,healthforkids
3534022004,林榆森小兒科診所,兒童發展篩檢院所,宜蘭縣,羅東鎮,宜蘭縣羅東鎮中正北路17號,03-9559955,healthforkids
3534010773,潘仁進診所,兒童發展篩檢院所,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路二段61號,03-9313808,healthforkids
0634030014,臺北榮民總醫院蘇澳分院,兒童發展篩檢院所,宜蘭縣,蘇澳鎮,宜蘭縣蘇澳鎮蘇濱路一段301號,03-9905106,healthforkids;sfaa
x:宜蘭縣:藍正州小兒科診所,藍正州小兒科診所,兒童發展篩檢院所,宜蘭縣,羅東鎮,宜蘭縣羅東鎮南門路20號,03-9531168,healthforkids
x:宜蘭縣:陳義文小兒科診所,陳義文小兒科診所,兒童發展篩檢院所,宜蘭縣,宜蘭市,宜蘭縣宜蘭市中山路二段358號,03-9369885,healthforkids
x:屏東縣:健康123診所,健康１２３診所,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市大同北路249號,08-7321216,healthforkids
0943010035,優生醫療社團法人優生醫院,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市瑞光路三段103號,08-7382222,healthforkids
x:屏東縣:博醫診所,博醫診所,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市廣東路1013號,08-7325992,healthforkids
3543011448,吳振州診所,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市棒球路91號,08-7553135,healthforkids
0943010026,安和醫療社團法人安和醫院,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市自由路598號,08-7651828,healthforkids;sfaa
3543014172,宋的祥診所,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市北興里公裕街158號,08-7651318,healthforkids
x:屏東縣:家斌診所,家斌診所,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市仁愛路113號,08-7365523,healthforkids
0943010017,寶建醫療社團法人寶建醫院,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市中山路123號,08-7665995,healthforkids;sfaa
3543014565,小太陽兒科聯合診所,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市建豐路169號,08-7379591,healthforkids
2343260017,屏東縣三地門鄉衛生所,兒童發展篩檢院所,屏東縣,三地門鄉,屏東縣三地門鄉三地村行政街4號,08-7991284,healthforkids
2343080019,屏東縣九如鄉衛生所,兒童發展篩檢院所,屏東縣,九如鄉,屏東縣九如鄉九如路二段247號,08-7392006,healthforkids
2343210017,屏東縣佳冬鄉衛生所,兒童發展篩檢院所,屏東縣,佳冬鄉,屏東縣佳冬鄉佳和路87之1號,08-8662018,healthforkids
2343300016,屏東縣來義鄉衛生所,兒童發展篩檢院所,屏東縣,來義鄉,屏東縣來義鄉古樓村中正路90號,08-7850103,healthforkids
2343130014,屏東縣內埔鄉衛生所,兒童發展篩檢院所,屏東縣,內埔鄉,屏東縣內埔鄉中興路191號,08-7792414,healthforkids
2343200011,屏東縣南州鄉衛生所,兒童發展篩檢院所,屏東縣,南州鄉,屏東縣南州鄉人和路239號,08-8642224,healthforkids
2343010017,屏東縣屏東市衛生所,兒童發展篩檢院所,屏東縣,屏東市,屏東縣屏東市中正路419號,08-7388701,healthforkids
2343180014,屏東縣崁頂鄉衛生所,兒童發展篩檢院所,屏東縣,崁頂鄉,屏東縣崁頂鄉興農路29之9號,08-8631454,healthforkids
2343040015,屏東縣恆春鎮衛生所,兒童發展篩檢院所,屏東縣,恆春鎮,屏東縣恆春鎮城南里文化路78號,08-8892140,healthforkids
2343170018,屏東縣新園鄉衛生所,兒童發展篩檢院所,屏東縣,新園鄉,屏東縣新園鄉仙吉路89之2號,08-8681293,healthforkids
